description,x,y
6 Ave @ 34 St,-73.9877646,40.74977972
E 8 St @ Lafayette St,-73.9913906,40.7301169
Park Ave @ 23 St,-73.98633057,40.74017733
Lexington Ave @ 42 St,-73.976055,40.75140582
2 Ave @ 23St,-73.98090264,40.73789413
Broadway @ 51st,-73.98367836,40.76207523
Delancy St @ Essex St,-73.9882374,40.71851175
Amsterdam Ave @ 125 st,-73.9562662,40.81337576
7 Ave @ 145 St,-73.93897377,40.8216309
St Nicolas Ave @ 181 St,-73.93374447,40.84930397
St Nicholas Ave @ 125 St,-73.95263605,40.81077989
5 Ave @ 86 St,-73.96041149,40.78151518
Amsterdam @ 72 St,-73.9816391,40.77863293
Columbus St @ 65 Ave,-73.98232024,40.77265524
Main St @ Sanford Ave,-73.82880323,40.75667871
Kissena Blvd @ Sanford Ave,-73.82707371,40.75712575
Northern Blvd @ Steinway,-73.92443516,40.75237286
Northern Blvd @ Broadway,-73.90694712,40.75330555
Northern Blvd @ 48 St,-73.9147112,40.75366982
Flatbush Ave and Atlantic Ave,-73.97740906,40.68404277
Pelham Pkwy W/B @ Boston Rd,-73.86934947,40.85668044
E 14 St @ Irving Pl/Lexington Av,-73.98876045,40.73396259
Broadway @ 125 St,-73.95817324,40.81552712
Van Dam St @ 48 Ave,-73.9343114,40.74103406
Boston Rd. @ E 169 St,-73.90030848,40.83121139
Beach Channel Dr @B Mott Ave,-73.75530614,40.60534505
Springfield Blvd @ Merrick Blvd,-73.75343347,40.680136
Stillwell Ave @ 86 St,-73.9852636,40.5967738
Queens Blvd @ 48 St,-73.91688279,40.74295443
Flatbush Ave @ Ave U,-73.92248456,40.60981702
Malcom X Blvd @ 145 St,-73.93626896,40.82041652
5 Ave @ 96 St,-73.9557764,40.78789311
Central park west @ 86 St,-73.96933642,40.78530693
Grand St @ Graham Ave,-73.94391638,40.71164838
2 Ave @ E 14 St,-73.9849373,40.73236522
3rd Avenue @Â East 156th Street,-73.9130692,40.8201415
3 Ave @ 42 St,-73.9744533,40.7507757
5 Ave @ 42 St,-73.9808774,40.7534887
Water St @ Whitehall,-74.0128434,40.70241829
Boerum Pl @ Fulton St & Joralemon St,-73.9890441,40.69217416
8 Ave @ 23 St,-73.9984746,40.7453063
8 Ave @ 57 St,-73.982875,40.7667278
9 Ave @ 42 St,-73.9926275,40.7584443
Main St @ Roosevelt Ave,-73.8301324,40.7595662
6 Ave @ 42 St,-73.9841001,40.7548348
Union Street @ Northern Boulevard,-73.8281552,40.7638756
Furmanville Avenue @ Woodhaven Boulevard,-73.8655869,40.7202579
Old Fulton Street @ Furman Street,-73.9947856,40.7028871
Montgomery @ South St,-73.98472973,40.71072296
Ocean Parkway @ Avenue I,-73.9708592,40.6265758
Metropolitan Avenue @ Fresh Pond Road,-73.900615,40.7126963
Flushing Ave @ 54 St,-73.91328079,40.71508936
Flushing Avenue @ 61st Street,-73.9041044,40.7210414
Sands St @ Brooklyn Bridge Ent,-73.98627636,40.69993804
Grand Street & Union Avenue,-73.9511153,40.710968
Northern Boulevard & Parsons Boulevard,-73.8234691,40.764611
Grand Concourse & East Fordham Road,-73.8973448,40.8624484
Grand Concourse & East 161 Street,-73.9228277,40.8270172
5 Ave @ 59 St,-73.97300308,40.76431217
East Houston Street & Avenue D,-73.978731,40.7200008
1st Avenue & East 96th Street,-73.9447038,40.783286
Kissena Boulevard & Holly Avenue,-73.819408,40.7508906
3rd Avenue & East 163rd Street,-73.9087147,40.8240731
Water Street & John Street,-74.0049997,40.7068592
Brooklyn Bridge @ Centre St,-74.00494533,40.71237723
Lexington Avenue & East 72nd Street,-73.9621972,40.7704246
Madison Avenue & East 46th Street,-73.9774369,40.7553775
Victory Boulevard & Jersey Street,-74.0837325,40.6357501